timestamp,user,type,amount,location,location_norm,device,fields_found,amount_value,anomaly_score,anomaly_label,anomaly_status,explanation
2025-07-05 19:18:10,user1069,withdrawal,2995.12,London,london,iPhone 13,,2995.12,0.63,0,Normal,Normal pattern
2025-07-15 12:56:05,user1076,cashout,€4821.85,Glasgow,glasgow,Pixel 6,,4821.85,0.55,0,Normal,Normal pattern
2025-07-20 05:38:14 ,user1034,top-up,€2191.06,None ,none,iPhone 13,,2191.06,0.95,0,Normal,Normal pattern
2025-06-13 10:04:51 ,user1068,deposit,€1691.09,Glasgow ,glasgow,None,,1691.09,1.03,0,Normal,Normal pattern
2025-07-29 23:47:37 ,user1014,deposit,£3539.5,Glasgow ,glasgow,iPhone 13,,3539.5,0.98,0,Normal,Normal pattern
2025-06-23 14:45:58,user1075,debit,$1215.74,Leeds,leeds,Samsung Galaxy S10,,1215.74,0.61,0,Normal,Normal pattern
2025-07-31 06:50:50 ,user1071,cashout,$1772.13,None ,none,Nokia 3310,,1772.13,1.09,0,Normal,Normal pattern
2025-07-07 20:42:12,user1098,deposit,€304.0,Birmingham,birmingham,Nokia 3310,,304.0,0.48,0,Normal,Normal pattern
2025-07-24 22:47:06,user1080,purchase,24,nan,,nan,"['timestamp', 'user', 'type', 'amount']",24.0,0.07,0,Normal,Normal pattern
2025-06-10 20:06:30 ,user1025,withdrawal,€3261.07,London ,london,iPhone 13,,3261.07,1.03,0,Normal,Normal pattern
2025-06-14 07:25:39,user1019,cashout,14,nan,,nan,"['timestamp', 'user', 'type', 'amount']",14.0,0.07,0,Normal,Normal pattern
2025-07-05 14:11:06,user1093,withdrawal,4926.56,None,none,Huawei P30,,4926.56,0.53,0,Normal,Normal pattern
2025-07-05 06:12:48,user1043,withdrawal,£4803.93,Liverpool,liverpool,iPhone 13,,4803.93,0.7,0,Normal,Normal pattern
2025-07-23 15:57:12 ,user1098,purchase,€2019.47,Glasgow ,glasgow,None,,2019.47,0.82,0,Normal,Normal pattern
2025-06-23 10:05:51 ,user1048,deposit,€2096.71,Birmingham ,birmingham,Huawei P30,,2096.71,1.14,0,Normal,Normal pattern
2025-06-24 05:06:27,user1034,top-up,$1194.19,Liverpool,liverpool,Pixel 6,,1194.19,0.41,0,Normal,Normal pattern
2025-06-25 07:18:59,user1008,top-up,£4645.16,London,london,Xiaomi Mi 11,,4645.16,0.58,0,Normal,Normal pattern
2025-07-17 23:05:52 ,user1011,purchase,£2529.92,Birmingham ,birmingham,iPhone 13,,2529.92,0.84,0,Normal,Normal pattern
2025-06-22 21:50:40,user1003,refund,£4658.85,Liverpool,liverpool,Huawei P30,,4658.85,0.48,0,Normal,Normal pattern
2025-07-04 02:49:11,user1083,transfer,1362.47,Glasgow,glasgow,Pixel 6,,1362.47,0.56,0,Normal,Normal pattern
2025-06-26 03:04:52,user1077,refund,2527.54,London,london,iPhone 13,,2527.54,0.56,0,Normal,Normal pattern
2025-07-04 01:08:12,user1046,cashout,04,nan,,nan,"['timestamp', 'user', 'type', 'amount']",4.0,0.07,0,Normal,Normal pattern
2025-06-09 22:58:25,user1074,withdrawal,09,nan,,nan,"['timestamp', 'user', 'type', 'amount']",9.0,0.11,0,Normal,Normal pattern
2025-07-08 14:07:36 ,user1086,refund,£1823.89,Birmingham ,birmingham,Samsung Galaxy S10,,1823.89,0.81,0,Normal,Normal pattern
2025-07-30 04:54:02,user1096,deposit,30,nan,,nan,"['timestamp', 'user', 'type', 'amount']",30.0,0.13,0,Normal,Normal pattern
2025-07-02 12:28:08,user1010,transfer,02,nan,,nan,"['timestamp', 'user', 'type', 'amount']",2.0,0.07,0,Normal,Normal pattern
2025-07-07 12:07:08,user1013,top-up,07,nan,,nan,"['timestamp', 'user', 'type', 'amount']",7.0,0.1,0,Normal,Normal pattern
2025-07-24 02:04:16 ,user1058,deposit,£1913.33,None ,none,Samsung Galaxy S10,,1913.33,1.03,0,Normal,Normal pattern
2025-06-18 16:36:00 ,user1008,top-up,£1526.65,Glasgow ,glasgow,iPhone 13,,1526.65,1.0,0,Normal,Normal pattern
2025-06-25 07:41:42,user1034,top-up,£4696.25,Cardiff,cardiff,Samsung Galaxy S10,,4696.25,0.59,0,Normal,Normal pattern
2025-07-27 06:27:32,user1069,cashout,4497.62,Cardiff,cardiff,iPhone 13,,4497.62,0.83,0,Normal,Normal pattern
2025-07-05 11:01:54,user1081,purchase,1821.74,Birmingham,birmingham,None,,1821.74,0.4,0,Normal,Normal pattern
2025-06-19 05:02:27,user1068,deposit,3599.05,Cardiff,cardiff,Pixel 6,,3599.05,0.68,0,Normal,Normal pattern
2025-07-30 02:28:05,user1020,cashout,3486.34,Liverpool,liverpool,Samsung Galaxy S10,,3486.34,0.56,0,Normal,Normal pattern
2025-06-09 04:52:32,user1004,purchase,€2556.36,Liverpool,liverpool,Pixel 6,,2556.36,0.42,0,Normal,Normal pattern
2025-06-06 23:20:13 ,user1029,top-up,£467.84,Cardiff ,cardiff,Samsung Galaxy S10,,467.84,1.13,0,Normal,Normal pattern
2025-07-28 17:58:48,user1020,withdrawal,232.02,Manchester,manchester,Xiaomi Mi 11,,232.02,0.6,0,Normal,Normal pattern
2025-06-22 11:35:36 ,user1067,purchase,$3592.01,None ,none,Xiaomi Mi 11,,3592.01,0.87,0,Normal,Normal pattern
2025-06-13 09:48:03,user1020,withdrawal,13,nan,,nan,"['timestamp', 'user', 'type', 'amount']",13.0,0.11,0,Normal,Normal pattern
2025-06-29 10:46:54,user1020,debit,29,nan,,nan,"['timestamp', 'user', 'type', 'amount']",29.0,0.09,0,Normal,Normal pattern
2025-07-17 19:56:26 ,user1040,transfer,$3718.53,None ,none,Huawei P30,,3718.53,0.83,0,Normal,Normal pattern
2025-06-14 11:55:14 ,user1070,refund,€3829.3,None ,none,Pixel 6,,3829.3,0.88,0,Normal,Normal pattern
2025-06-10 09:06:24,user1005,debit,388.34,Glasgow,glasgow,Huawei P30,,388.34,0.47,0,Normal,Normal pattern
2025-06-09 15:02:04,user1081,deposit,09,nan,,nan,"['timestamp', 'user', 'type', 'amount']",9.0,0.13,0,Normal,Normal pattern
2025-07-21 17:14:37 ,user1028,withdrawal,$1034.97,Leeds ,leeds,Nokia 3310,,1034.97,1.17,1,Anomaly,Unusual text pattern detected
2025-06-16 11:31:33,user1019,cashout,2385.42,Cardiff,cardiff,Nokia 3310,,2385.42,0.59,0,Normal,Normal pattern
2025-07-19 10:03:15 ,user1087,purchase,$2441.66,Leeds ,leeds,Xiaomi Mi 11,,2441.66,0.89,0,Normal,Normal pattern
2025-06-02 23:51:41,user1057,withdrawal,4534.74,London,london,iPhone 13,,4534.74,0.63,0,Normal,Normal pattern
2025-07-27 07:41:21 ,user1035,debit,$909.46,Leeds ,leeds,Huawei P30,,909.46,1.01,0,Normal,Normal pattern
2025-06-23 08:15:41,user1034,top-up,1688.17,Cardiff,cardiff,Nokia 3310,,1688.17,0.7,0,Normal,Normal pattern
2025-06-15 06:31:04 ,user1079,deposit,€2352.06,London ,london,Huawei P30,,2352.06,1.13,0,Normal,Normal pattern
2025-07-28 20:56:17 ,user1092,deposit,€3906.38,London ,london,Nokia 3310,,3906.38,1.02,0,Normal,Normal pattern
2025-07-03 08:35:22,user1080,purchase,03,nan,,nan,"['timestamp', 'user', 'type', 'amount']",3.0,0.07,0,Normal,Normal pattern
2025-07-28 01:03:02,user1040,deposit,£2820.28,None,none,Pixel 6,,2820.28,0.61,0,Normal,Normal pattern
2025-07-15 14:46:08,user1047,top-up,15,nan,,nan,"['timestamp', 'user', 'type', 'amount']",15.0,0.1,0,Normal,Normal pattern
2025-06-14 12:27:03 ,user1035,deposit,$2893.84,Leeds ,leeds,Xiaomi Mi 11,,2893.84,0.78,0,Normal,Normal pattern
2025-06-21 18:04:39 ,user1027,purchase,$510.4,Manchester ,manchester,Nokia 3310,,510.4,1.02,0,Normal,Normal pattern
2025-07-21 10:27:07,user1034,cashout,3307.95,Birmingham,birmingham,iPhone 13,,3307.95,0.63,0,Normal,Normal pattern
2025-07-25 20:53:01,user1050,deposit,25,nan,,nan,"['timestamp', 'user', 'type', 'amount']",25.0,0.13,0,Normal,Normal pattern
2025-06-02 11:09:34 ,user1020,debit,€2324.9,Cardiff ,cardiff,Huawei P30,,2324.9,1.07,0,Normal,Normal pattern
2025-07-20 01:34:56,user1077,refund,4408.27,None,none,None,,4408.27,0.66,0,Normal,Normal pattern
2025-06-16 04:22:52 ,user1026,withdrawal,$2472.04,Liverpool ,liverpool,Xiaomi Mi 11,,2472.04,1.02,0,Normal,Normal pattern
2025-07-21 12:27:25 ,user1087,refund,€1702.35,Cardiff ,cardiff,None,,1702.35,0.96,0,Normal,Normal pattern
2025-06-19 19:01:52 ,user1025,purchase,€3453.36,None ,none,Xiaomi Mi 11,,3453.36,0.87,0,Normal,Normal pattern
2025-06-01 15:06:05,user1003,refund,1108.76,Glasgow,glasgow,Huawei P30,,1108.76,0.38,0,Normal,Normal pattern
