timestamp,user,type,amount,location,location_norm,device,fields_found,dt,amount_value,currency,hour,weekday,day_of_month,month,time_diff_hours,is_new_device,is_new_location,user_amount_median,user_amount_std,amount_z_user,anomaly_score,anomaly_label,anomaly_status,explanation
2025-07-01 04:10:24 ,user1000,transfer,€4844.96,Leeds ,leeds,Huawei P30,,2025-07-01 04:10:24,4844.96,EUR,4,1,1,7,4.98,1,1,2322.3,1637.62,1.54,1.2118247141770284,1,Anomaly,Unusual text pattern detected
2025-07-11 23:58:44 ,user1000,debit,$1008.51,None ,none,Pixel 6,,2025-07-11 23:58:44,1008.51,USD,23,4,11,7,6.32,1,1,2182.71,1649.85,-0.71,1.1810998928516157,1,Anomaly,Unusual text pattern detected
2025-07-23 20:06:21 ,user1003,top-up,£3182.08,Birmingham ,birmingham,Pixel 6,,2025-07-23 20:06:21,3182.08,GBP,20,2,23,7,7.43,1,1,2104.27,1555.24,0.69,1.182610851846251,1,Anomaly,Unusual text pattern detected
2025-06-30 01:18:43 ,user1004,transfer,$1568.25,London ,london,Pixel 6,,2025-06-30 01:18:43,1568.25,USD,1,0,30,6,16.45,0,1,2375.1,1421.06,-0.57,1.179993740091639,1,Anomaly,Unusual text pattern detected
2025-06-30 20:55:39 ,user1005,transfer,£4977.03,London ,london,iPhone 13,,2025-06-30 20:55:39,4977.03,GBP,20,0,30,6,5.49,1,1,1702.59,1602.83,2.04,1.3884611483833036,1,Anomaly,Unusual text pattern detected
2025-07-26 14:43:40 ,user1005,refund,$1326.51,Leeds ,leeds,Nokia 3310,,2025-07-26 14:43:40,1326.51,USD,14,5,26,7,5.51,1,0,1766.29,1536.33,-0.29,1.3157367570339686,1,Anomaly,Unusual text pattern detected
2025-07-16 07:40:18 ,user1006,refund,£3476.02,Glasgow ,glasgow,Nokia 3310,,2025-07-16 07:40:18,3476.02,GBP,7,2,16,7,4.4,1,1,1222.16,1529.1,1.47,1.2209820242905003,1,Anomaly,Unusual text pattern detected
2025-06-07 06:43:19 ,user1007,transfer,$4931.1,London ,london,Pixel 6,,2025-06-07 06:43:19,4931.1,USD,6,5,7,6,93.63,1,1,3289.38,1870.21,0.88,1.179993740091639,1,Anomaly,Unusual text pattern detected
2025-06-13 13:12:42 ,user1007,transfer,$121.11,Leeds ,leeds,Huawei P30,,2025-06-13 13:12:42,121.11,USD,13,4,13,6,32.68,1,1,2574.1,1395.85,-1.76,1.2118247141770284,1,Anomaly,Unusual text pattern detected
2025-06-25 22:32:17 ,user1008,transfer,£4459.53,Cardiff ,cardiff,iPhone 13,,2025-06-25 22:32:17,4459.53,GBP,22,2,25,6,1.91,1,1,2020.48,1467.45,1.66,1.2018122254430275,1,Anomaly,Unusual text pattern detected
2025-07-25 17:32:28 ,user1008,transfer,$3407.01,London ,london,iPhone 13,,2025-07-25 17:32:28,3407.01,USD,17,4,25,7,3.05,1,1,2088.54,1504.83,0.88,1.3884611483833036,1,Anomaly,Unusual text pattern detected
2025-06-19 03:41:50 ,user1010,debit,$4023.84,Cardiff ,cardiff,None,,2025-06-19 03:41:50,4023.84,USD,3,3,19,6,28.81,1,1,1832.57,1492.92,1.47,1.1889178018316264,1,Anomaly,Unusual text pattern detected
2025-07-28 03:33:55 ,user1010,purchase,£1228.37,London ,london,Nokia 3310,,2025-07-28 03:33:55,1228.37,GBP,3,0,28,7,1.6,1,1,2213.7,1501.53,-0.66,1.209412026793712,1,Anomaly,Unusual text pattern detected
2025-06-07 16:24:28 ,user1011,purchase,£3894.6,London ,london,Pixel 6,,2025-06-07 16:24:28,3894.6,GBP,16,5,7,6,4.04,1,1,1525.12,1557.53,1.52,1.1893937345313061,1,Anomaly,Unusual text pattern detected
2025-07-23 12:23:48 ,user1011,top-up,€597.89,London ,london,Samsung Galaxy S10,,2025-07-23 12:23:48,597.89,EUR,12,2,23,7,19.78,0,1,1837.05,1522.92,-0.81,1.215602299273977,1,Anomaly,Unusual text pattern detected
2025-07-24 15:04:58 ,user1011,transfer,$2061.92,London ,london,Xiaomi Mi 11,,2025-07-24 15:04:58,2061.92,USD,15,3,24,7,3.83,1,1,1837.05,1528.16,0.15,1.2485264731357562,1,Anomaly,Unusual text pattern detected
