timestamp,user,type,amount,location,location_norm,device,fields_found,dt,amount_value,currency,hour,weekday,day_of_month,month,time_diff_hours,is_new_device,is_new_location,user_amount_median,user_amount_std,amount_z_user,anomaly_score,anomaly_label,anomaly_status,explanation
2025-06-02 19:52:44 ,user1000,refund,$3610.68,Cardiff ,cardiff,Huawei P30,,2025-06-02 19:52:44,3610.68,USD,19,0,2,6,24.55,1,1,1491.1,2107.33,1.01,0.0,1,anomaly,First time using device; Unseen location
2025-06-03 10:11:53,user1000,cashout,£4659.06,Birmingham,birmingham,Nokia 3310,,2025-06-03 10:11:53,4659.06,GBP,10,1,3,6,14.32,1,1,2981.21,1928.2,0.87,0.02,1,anomaly,First time using device; Unseen location
2025-06-03 21:23:30 ,user1000,cashout,£4063.97,Liverpool ,liverpool,None,,2025-06-03 21:23:30,4063.97,GBP,21,1,3,6,11.19,1,1,3295.94,1998.32,0.38,0.01,1,anomaly,First time using device; Unseen location
2025-06-04 16:10:36 ,user1000,refund,€2110.25,Birmingham ,birmingham,Samsung Galaxy S10,,2025-06-04 16:10:36,2110.25,EUR,16,2,4,6,18.78,1,1,3610.68,1818.78,-0.82,0.0,1,anomaly,First time using device; Unseen location
2025-06-07 07:27:00,user1000,deposit,353.96,None,none,Pixel 6,,2025-06-07 07:27:00,353.96,UNKNOWN,7,5,7,6,43.93,1,1,3024.64,1414.74,-1.89,0.01,1,anomaly,First time using device; Unseen location
2025-06-09 22:30:55,user1000,debit,$140.76,Manchester,manchester,None,,2025-06-09 22:30:55,140.76,USD,22,0,9,6,63.07,1,1,3016.86,1578.34,-1.82,0.03,1,anomaly,First time using device; Unseen location; Unusual time gap since last txn
2025-06-14 21:24:18 ,user1000,cashout,€3121.69,Birmingham ,birmingham,Huawei P30,,2025-06-14 21:24:18,3121.69,EUR,21,5,14,6,43.46,1,1,2828.84,1673.35,0.18,0.0,1,anomaly,First time using device; Unseen location
2025-06-18 07:31:05,user1000,deposit,€4537.72,Cardiff,cardiff,None,,2025-06-18 07:31:05,4537.72,EUR,7,2,18,6,82.11,1,1,2981.21,1638.2,0.95,0.02,1,anomaly,First time using device; Unseen location; Unusual time gap since last txn
2025-06-20 02:01:24,user1000,deposit,320.17,London,london,Pixel 6,,2025-06-20 02:01:24,320.17,UNKNOWN,2,4,20,6,42.51,1,1,2999.04,1683.47,-1.59,0.01,1,anomaly,First time using device; Unseen location
2025-06-20 14:42:40,user1000,debit,€1775.6,Birmingham,birmingham,None,,2025-06-20 14:42:40,1775.6,EUR,14,4,20,6,12.69,1,1,2981.21,1698.72,-0.71,0.0,1,anomaly,First time using device; Unseen location
