timestamp,user,type,amount,location,location_norm,device,fields_found,dt,amount_value,currency,hour,weekday,day_of_month,month,time_diff_hours,is_new_device,is_new_location,user_amount_median,user_amount_std,amount_z_user,prev_location,anomaly_label,anomaly_score,anomaly_status,explanation
2025-06-01 12:03:31,user1000,cashout,$2981.21,London,london,Samsung Galaxy S10,,2025-06-01 12:03:31,2981.21,USD,12,6,1,6,8.97,1,1,2051.9,1588.72,0.58,,0,0,Normal,Common transition
2025-06-01 19:19:50,user1000,debit,01,Leeds,leeds,Xiaomi Mi 11,"['timestamp', 'user', 'type', 'amount']",2025-06-01 19:19:50,1.0,UNKNOWN,19,6,1,6,7.27,1,1,2981.21,1588.72,-1.88,London,0,0,Normal,Common transition
2025-06-02 19:52:44 ,user1000,refund,$3610.68,Cardiff ,cardiff,Huawei P30,,2025-06-02 19:52:44,3610.68,USD,19,0,2,6,24.55,1,1,1491.1,2107.33,1.01,Leeds,0,0,Normal,Common transition
2025-06-03 10:11:53,user1000,cashout,£4659.06,Birmingham,birmingham,Nokia 3310,,2025-06-03 10:11:53,4659.06,GBP,10,1,3,6,14.32,1,1,2981.21,1928.2,0.87,Cardiff ,0,0,Normal,Common transition
2025-06-03 21:23:30 ,user1000,cashout,£4063.97,Liverpool ,liverpool,None,,2025-06-03 21:23:30,4063.97,GBP,21,1,3,6,11.19,1,1,3295.94,1998.32,0.38,Birmingham,0,0,Normal,Common transition
2025-06-04 16:10:36 ,user1000,refund,€2110.25,Birmingham ,birmingham,Samsung Galaxy S10,,2025-06-04 16:10:36,2110.25,EUR,16,2,4,6,18.78,1,1,3610.68,1818.78,-0.82,Liverpool ,0,0,Normal,Common transition
2025-06-05 03:01:00,user1000,cashout,3032.41,Leeds,leeds,Pixel 6,,2025-06-05 03:01:00,3032.41,UNKNOWN,3,3,5,6,10.84,1,1,3295.94,1672.64,-0.16,Birmingham ,0,0,Normal,Common transition
2025-06-05 11:30:55,user1000,withdrawal,$3016.86,Leeds,leeds,iPhone 13,,2025-06-05 11:30:55,3016.86,USD,11,3,5,6,8.5,1,0,3032.41,1527.67,-0.01,Leeds,0,0,Normal,Common transition
2025-06-07 07:27:00,user1000,deposit,353.96,None,none,Pixel 6,,2025-06-07 07:27:00,353.96,UNKNOWN,7,5,7,6,43.93,1,1,3024.64,1414.74,-1.89,Leeds,0,0,Normal,Common transition
2025-06-09 22:30:55,user1000,debit,$140.76,Manchester,manchester,None,,2025-06-09 22:30:55,140.76,USD,22,0,9,6,63.07,1,1,3016.86,1578.34,-1.82,None,0,0,Normal,Common transition
2025-06-10 07:08:58,user1000,top-up,10,Leeds,leeds,Xiaomi Mi 11,"['timestamp', 'user', 'type', 'amount']",2025-06-10 07:08:58,10.0,UNKNOWN,7,1,10,6,8.63,1,1,2999.04,1686.08,-1.77,Manchester,0,0,Normal,Common transition
2025-06-10 18:10:07,user1000,cashout,10,Leeds,leeds,Xiaomi Mi 11,"['timestamp', 'user', 'type', 'amount']",2025-06-10 18:10:07,10.0,UNKNOWN,18,1,10,6,11.02,0,0,2981.21,1754.01,-1.69,Leeds,0,0,Normal,Common transition
2025-06-10 21:15:16,user1000,purchase,414.44,None,none,None,,2025-06-10 21:15:16,414.44,UNKNOWN,21,1,10,6,3.09,1,1,2545.73,1785.86,-1.19,Leeds,0,0,Normal,Common transition
2025-06-11 01:58:58 ,user1000,deposit,£3443.9,Liverpool ,liverpool,Pixel 6,,2025-06-11 01:58:58,3443.9,GBP,1,2,11,6,4.73,1,1,2110.25,1765.42,0.76,None,0,0,Normal,Common transition
2025-06-11 17:23:13,user1000,purchase,3451.51,Birmingham,birmingham,Xiaomi Mi 11,,2025-06-11 17:23:13,3451.51,UNKNOWN,17,2,11,6,15.4,1,1,2545.73,1747.07,0.52,Liverpool ,0,0,Normal,Common transition
2025-06-13 01:56:24,user1000,top-up,2676.48,Glasgow,glasgow,Xiaomi Mi 11,,2025-06-13 01:56:24,2676.48,UNKNOWN,1,4,13,6,32.55,0,1,2981.21,1725.34,-0.18,Birmingham,0,0,Normal,Common transition
2025-06-14 21:24:18 ,user1000,cashout,€3121.69,Birmingham ,birmingham,Huawei P30,,2025-06-14 21:24:18,3121.69,EUR,21,5,14,6,43.46,1,1,2828.84,1673.35,0.18,Glasgow,0,0,Normal,Common transition
2025-06-18 07:31:05,user1000,deposit,€4537.72,Cardiff,cardiff,None,,2025-06-18 07:31:05,4537.72,EUR,7,2,18,6,82.11,1,1,2981.21,1638.2,0.95,Birmingham ,0,0,Normal,Common transition
2025-06-20 02:01:24,user1000,deposit,320.17,London,london,Pixel 6,,2025-06-20 02:01:24,320.17,UNKNOWN,2,4,20,6,42.51,1,1,2999.04,1683.47,-1.59,Cardiff,0,0,Normal,Common transition
2025-06-20 14:42:40,user1000,debit,€1775.6,Birmingham,birmingham,None,,2025-06-20 14:42:40,1775.6,EUR,14,4,20,6,12.69,1,1,2981.21,1698.72,-0.71,London,0,0,Normal,Common transition
2025-06-21 11:15:04 ,user1000,top-up,€4737.85,Liverpool ,liverpool,None,,2025-06-21 11:15:04,4737.85,EUR,11,5,21,6,20.54,0,1,2828.84,1656.24,1.15,Birmingham,0,0,Normal,Common transition
2025-06-22 03:57:41,user1000,withdrawal,22,Leeds,leeds,Xiaomi Mi 11,"['timestamp', 'user', 'type', 'amount']",2025-06-22 03:57:41,22.0,UNKNOWN,3,6,22,6,16.71,1,1,2981.21,1707.61,-1.73,Liverpool ,0,0,Normal,Common transition
2025-06-22 12:54:09,user1000,top-up,3363.8,Leeds,leeds,None,,2025-06-22 12:54:09,3363.8,UNKNOWN,12,6,22,6,8.94,1,0,2828.84,1736.27,0.31,Leeds,0,0,Normal,Common transition
