timestamp,user,type,amount,location,location_norm,device,fields_found,amount_value,prev_location,is_new_location,anomaly_label,anomaly_score,anomaly_status,explanation
2025-06-01 12:03:31,user1000,cashout,$2981.21,London,london,Samsung Galaxy S10,,2981.21,,1,0,2981.21,Normal,Rule not triggered
2025-06-01 19:19:50,user1000,debit,01,,,,"['timestamp', 'user', 'type', 'amount']",1.0,London,1,0,1.0,Normal,Rule not triggered
2025-06-02 19:52:44 ,user1000,refund,$3610.68,Cardiff ,cardiff,Huawei P30,,3610.68,,1,1,3610.68,Anomaly,High amount + new location
2025-06-03 10:11:53,user1000,cashout,£4659.06,Birmingham,birmingham,Nokia 3310,,4659.06,Cardiff ,1,1,4659.06,Anomaly,High amount + new location
2025-06-03 21:23:30 ,user1000,cashout,£4063.97,Liverpool ,liverpool,None,,4063.97,Birmingham,1,1,4063.97,Anomaly,High amount + new location
2025-06-04 16:10:36 ,user1000,refund,€2110.25,Birmingham ,birmingham,Samsung Galaxy S10,,2110.25,Liverpool ,1,0,2110.25,Normal,Rule not triggered
2025-06-05 03:01:00,user1000,cashout,3032.41,Leeds,leeds,Pixel 6,,3032.41,Birmingham ,1,1,3032.41,Anomaly,High amount + new location
2025-06-05 11:30:55,user1000,withdrawal,$3016.86,Leeds,leeds,iPhone 13,,3016.86,Leeds,0,0,0.0,Normal,Rule not triggered
2025-06-07 07:27:00,user1000,deposit,353.96,None,none,Pixel 6,,353.96,Leeds,1,0,353.96,Normal,Rule not triggered
2025-06-09 22:30:55,user1000,debit,$140.76,Manchester,manchester,None,,140.76,None,1,0,140.76,Normal,Rule not triggered
2025-06-10 07:08:58,user1000,top-up,10,,,,"['timestamp', 'user', 'type', 'amount']",10.0,Manchester,1,0,10.0,Normal,Rule not triggered
2025-06-10 18:10:07,user1000,cashout,10,,,,"['timestamp', 'user', 'type', 'amount']",10.0,,1,0,10.0,Normal,Rule not triggered
2025-06-10 21:15:16,user1000,purchase,414.44,None,none,None,,414.44,,1,0,414.44,Normal,Rule not triggered
2025-06-11 01:58:58 ,user1000,deposit,£3443.9,Liverpool ,liverpool,Pixel 6,,3443.9,None,1,1,3443.9,Anomaly,High amount + new location
2025-06-11 17:23:13,user1000,purchase,3451.51,Birmingham,birmingham,Xiaomi Mi 11,,3451.51,Liverpool ,1,1,3451.51,Anomaly,High amount + new location
2025-06-13 01:56:24,user1000,top-up,2676.48,Glasgow,glasgow,Xiaomi Mi 11,,2676.48,Birmingham,1,0,2676.48,Normal,Rule not triggered
2025-06-14 21:24:18 ,user1000,cashout,€3121.69,Birmingham ,birmingham,Huawei P30,,3121.69,Glasgow,1,1,3121.69,Anomaly,High amount + new location
2025-06-18 07:31:05,user1000,deposit,€4537.72,Cardiff,cardiff,None,,4537.72,Birmingham ,1,1,4537.72,Anomaly,High amount + new location
2025-06-20 02:01:24,user1000,deposit,320.17,London,london,Pixel 6,,320.17,Cardiff,1,0,320.17,Normal,Rule not triggered
2025-06-20 14:42:40,user1000,debit,€1775.6,Birmingham,birmingham,None,,1775.6,London,1,0,1775.6,Normal,Rule not triggered
2025-06-21 11:15:04 ,user1000,top-up,€4737.85,Liverpool ,liverpool,None,,4737.85,Birmingham,1,1,4737.85,Anomaly,High amount + new location
2025-06-22 03:57:41,user1000,withdrawal,22,,,,"['timestamp', 'user', 'type', 'amount']",22.0,Liverpool ,1,0,22.0,Normal,Rule not triggered
2025-06-22 12:54:09,user1000,top-up,3363.8,Leeds,leeds,None,,3363.8,,1,1,3363.8,Anomaly,High amount + new location
2025-06-22 13:10:57,user1000,debit,2182.71,London,london,Xiaomi Mi 11,,2182.71,Leeds,1,0,2182.71,Normal,Rule not triggered
2025-06-22 14:05:49,user1000,top-up,507.91,Birmingham,birmingham,Xiaomi Mi 11,,507.91,London,1,0,507.91,Normal,Rule not triggered
2025-06-22 16:54:22,user1000,transfer,3273.93,Leeds,leeds,Nokia 3310,,3273.93,Birmingham,1,1,3273.93,Anomaly,High amount + new location
2025-06-23 22:51:43,user1000,debit,£940.66,Cardiff,cardiff,Xiaomi Mi 11,,940.66,Leeds,1,0,940.66,Normal,Rule not triggered
2025-06-24 07:07:01,user1000,top-up,24,,,,"['timestamp', 'user', 'type', 'amount']",24.0,Cardiff,1,0,24.0,Normal,Rule not triggered
2025-06-25 00:24:08,user1000,top-up,25,,,,"['timestamp', 'user', 'type', 'amount']",25.0,,1,0,25.0,Normal,Rule not triggered
2025-06-25 10:12:11,user1000,top-up,935.32,Leeds,leeds,Samsung Galaxy S10,,935.32,,1,0,935.32,Normal,Rule not triggered
2025-06-25 19:49:08,user1000,debit,3413.7,Manchester,manchester,Pixel 6,,3413.7,Leeds,1,1,3413.7,Anomaly,High amount + new location
2025-06-25 22:14:35,user1000,deposit,2007.87,None,none,Huawei P30,,2007.87,Manchester,1,0,2007.87,Normal,Rule not triggered
2025-06-26 12:29:52,user1000,top-up,406.29,Birmingham,birmingham,Samsung Galaxy S10,,406.29,None,1,0,406.29,Normal,Rule not triggered
2025-06-26 14:01:57 ,user1000,top-up,£2461.89,None ,none,iPhone 13,,2461.89,Birmingham,1,0,2461.89,Normal,Rule not triggered
2025-06-27 12:18:27,user1000,deposit,27,,,,"['timestamp', 'user', 'type', 'amount']",27.0,None ,1,0,27.0,Normal,Rule not triggered
2025-06-28 20:38:14,user1000,refund,£3213.02,Glasgow,glasgow,Samsung Galaxy S10,,3213.02,,1,1,3213.02,Anomaly,High amount + new location
2025-06-29 14:29:07,user1000,purchase,4222.78,London,london,Huawei P30,,4222.78,Glasgow,1,1,4222.78,Anomaly,High amount + new location
2025-06-29 22:12:13 ,user1000,withdrawal,$4335.33,Liverpool ,liverpool,Huawei P30,,4335.33,London,1,1,4335.33,Anomaly,High amount + new location
2025-06-30 04:17:02,user1000,deposit,4169.62,Manchester,manchester,Pixel 6,,4169.62,Liverpool ,1,1,4169.62,Anomaly,High amount + new location
